DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
protein-torsion	576	CC(=O)N[C@@H](CC1=CNC=[NH+]1)C(=O)NC	CC(=O)NC(CC1=CNC=[NH+]1)C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](CCCCN)C(=O)NC	CC(=O)NC(CCCCN)C(=O)NC
protein-torsion	576	CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)NC)NC(=O)[C@H](C(C)C)NC(=O)C	CC(C)CC(C(=O)NC(C(C)C)C(=O)NC)NC(=O)C(C(C)C)NC(=O)C
protein-torsion	576	CC(C)[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)NC)NC(=O)C	CC(C)C(C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)NC)NC(=O)C
protein-torsion	24	C[C@H]([C@@H](C(=O)NC)NC(=O)C)O	CC(C(C(=O)NC)NC(=O)C)O
protein-torsion	576	CC(C)[C@@H](C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](C(C)C)C(=O)NC)NC(=O)C	CC(C)C(C(=O)NC(CCC(=O)[O-])C(=O)NC(C(C)C)C(=O)NC)NC(=O)C
protein-torsion	576	CC(=O)N[C@@H](CC(=O)[O-])C(=O)NC	CC(=O)NC(CC(=O)[O-])C(=O)NC
protein-torsion	394	CC(=O)N1CCC[C@H]1C(=O)NC	CC(=O)N1CCCC1C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)NC	CC(=O)NC(Cc1ccc(cc1)O)C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](CC1=CNc2c1cccc2)C(=O)NC	CC(=O)NC(CC1=CNc2c1cccc2)C(=O)NC
protein-torsion	600	C[C@@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](C)C(=O)NC)NC(=O)C	CC(C(=O)NC(CC(=O)[O-])C(=O)NC(C)C(=O)NC)NC(=O)C
protein-torsion	576	CC(=O)N[C@@H](CO)C(=O)NC	CC(=O)NC(CO)C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](CC(=O)[O-])C(=O)NC	CC(=O)NC(CC(=O)[O-])C(=O)NC
protein-torsion	576	CC(=O)N[C@@H](CC(=O)N)C(=O)NC	CC(=O)NC(CC(=O)N)C(=O)NC
protein-torsion	600	C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)NC)NC(=O)C	CC(C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC)NC(=O)C
protein-torsion	576	CC(=O)N[C@@H](CC1=CN=CN1)C(=O)NC	CC(=O)NC(CC1=CN=CN1)C(=O)NC
protein-torsion	1133	CC(=O)N[C@@H](CCC(=O)[O-])C(=O)NC	CC(=O)NC(CCC(=O)[O-])C(=O)NC
